,TotalEnergy,ConnectedTime,ChargeTime,MaxPower,Duration_newh,Started_datum,DagLabelKort,WeekNr,MaandLabelKort,Is_WerkDag,Is_Weekend
143,8562,4.7597,3.5003,3180,4.759722222222222,2018-01-06,za,1,jan,0,1
144,5742,2.605,2.605,3237,2.605,2018-01-06,za,1,jan,0,1
145,759,0.24,0.24,3159,0.2405555555555555,2018-01-06,za,1,jan,0,1
146,7500,2.6528,2.2308,3600,2.6527777777777777,2018-01-06,za,1,jan,0,1
147,7699,6.5178,2.2339,3600,6.517777777777778,2018-01-06,za,1,jan,0,1
148,2160,0.6392,0.6392,3600,0.6391666666666667,2018-01-06,za,1,jan,0,1
149,14324,4.3286,2.2503,8906,4.328611111111111,2018-01-06,za,1,jan,0,1
150,17599,7.0581,5.7503,3440,7.058055555555556,2018-01-06,za,1,jan,0,1
151,7190,3.5514,2.0747,3600,3.551388888888889,2018-01-06,za,1,jan,0,1
152,5731,1.3119,1.3119,4400,1.3119444444444444,2018-01-06,za,1,jan,0,1
153,5307,6.6525,2.2503,3300,6.6525,2018-01-06,za,1,jan,0,1
154,4210,4.3928,1.3319,3600,4.392777777777778,2018-01-06,za,1,jan,0,1
155,8909,6.7475,3.0003,3368,6.7475,2018-01-06,za,1,jan,0,1
156,6143,1.8339,1.8339,3364,1.833888888888889,2018-01-06,za,1,jan,0,1
157,25050,4.16,3.69,7200,4.158055555555555,2018-01-06,za,1,jan,0,1
158,53970,20.5322,4.8889,13200,20.532222222222224,2018-01-06,za,1,jan,0,1
159,5139,1.5425,1.5425,3387,1.5425,2018-01-06,za,1,jan,0,1
160,1610,0.6719,0.6719,3103,0.6719444444444445,2018-01-06,za,1,jan,0,1
161,4970,1.3975,1.3975,3758,1.3975,2018-01-06,za,1,jan,0,1
162,9707,15.4447,4.1456,3223,15.444722222222222,2018-01-06,za,1,jan,0,1
163,20210,1.92,1.92,10800,1.9202777777777775,2018-01-06,za,1,jan,0,1
164,8734,3.0433,2.7503,3712,3.043333333333333,2018-01-06,za,1,jan,0,1
165,1430,15.5944,1.2394,2880,15.594444444444443,2018-01-06,za,1,jan,0,1
166,8510,21.6778,2.6183,3720,21.677777777777777,2018-01-06,za,1,jan,0,1
167,8636,5.2011,2.7503,3528,5.201111111111112,2018-01-06,za,1,jan,0,1
168,3950,1.2053,1.2053,3333,1.2052777777777777,2018-01-06,za,1,jan,0,1
169,5780,2.8486,2.4914,3572,2.848611111111111,2018-01-06,za,1,jan,0,1
170,9355,12.3642,12.3642,3183,12.364166666666666,2018-01-06,za,1,jan,0,1
171,57560,38.5378,4.4614,13335,38.53777777777778,2018-01-06,za,1,jan,0,1
172,4170,16.05,1.38,3480,16.049722222222222,2018-01-07,zo,1,jan,0,1
173,8982,7.4464,3.5008,3296,7.446388888888888,2018-01-07,zo,1,jan,0,1
174,11540,9.0028,3.5003,3385,9.002777777777778,2018-01-07,zo,1,jan,0,1
175,9570,8.3769,3.5453,3105,8.376944444444444,2018-01-07,zo,1,jan,0,1
176,6680,2.16,2.16,3548,2.1580555555555554,2018-01-07,zo,1,jan,0,1
177,739,0.2292,0.2292,3225,0.2291666666666666,2018-01-07,zo,1,jan,0,1
178,1321,0.3806,0.3639,3570,0.3805555555555555,2018-01-07,zo,1,jan,0,1
179,6091,1.7731,1.7336,3570,1.7730555555555556,2018-01-07,zo,1,jan,0,1
180,7190,3.3306,2.1164,3758,3.330555555555556,2018-01-07,zo,1,jan,0,1
181,4702,1.4669,1.4669,3220,1.4669444444444444,2018-01-07,zo,1,jan,0,1
182,2419,0.7006,0.7006,3480,0.7005555555555556,2018-01-07,zo,1,jan,0,1
183,50010,7.2639,5.4839,10836,7.263888888888889,2018-01-07,zo,1,jan,0,1
184,1589,0.4675,0.4675,3480,0.4675,2018-01-07,zo,1,jan,0,1
185,8905,3.5633,3.0003,3364,3.563333333333333,2018-01-07,zo,1,jan,0,1
186,1620,0.6261,0.625,3320,0.6261111111111111,2018-01-07,zo,1,jan,0,1
187,39308,3.7108,3.7108,10716,3.710833333333333,2018-01-07,zo,1,jan,0,1
188,3390,0.97,0.97,3560,0.9672222222222222,2018-01-07,zo,1,jan,0,1
189,3189,0.8786,0.8786,3702,0.8786111111111111,2018-01-07,zo,1,jan,0,1
190,10009,2.78,2.77,3640,2.7752777777777777,2018-01-07,zo,1,jan,0,1
191,1700,0.4722,0.4722,3720,0.4722222222222222,2018-01-07,zo,1,jan,0,1
192,9465,3.5297,3.0003,3712,3.5297222222222224,2018-01-07,zo,1,jan,0,1
